# time	x	y	stress_xx	strain_xx
0.2665800068	0.1380537413	0.0000030738	351.2635207002	-2.4167691510
0.2675286901	0.1380537288	0.0000028560	339.7567478966	-2.4181717493
0.2684773733	0.1380537171	0.0000026532	328.2559044785	-2.4195251367
0.2694260566	0.1380537060	0.0000024645	316.7600146327	-2.4208291589
0.2703747399	0.1380536957	0.0000022888	305.2681181945	-2.4220836418
0.2713234232	0.1380536859	0.0000021254	293.7793082354	-2.4232883918
0.2722721065	0.1380536767	0.0000019733	282.2927796715	-2.4244431962
0.2732207898	0.1380536680	0.0000018318	270.8078909700	-2.4255478249
0.2741694731	0.1380536599	0.0000017002	259.3242411840	-2.4266020329
0.2751181564	0.1380536522	0.0000015778	247.8417647804	-2.4276055638
0.2760668397	0.1380536450	0.0000014640	236.3608469165	-2.4285581555
0.2770155230	0.1380536383	0.0000013583	224.8824604319	-2.4294595468
0.2779642063	0.1380536319	0.0000012599	213.4083224733	-2.4303094867
0.2789128896	0.1380536260	0.0000011686	201.9410671006	-2.4311077463
0.2798615729	0.1380536204	0.0000010836	190.4844296150	-2.4318541320
0.2808102562	0.1380536151	0.0000010048	179.0434336716	-2.4325485030
0.2817589395	0.1380536102	0.0000009315	167.6245635255	-2.4331907898
0.2827076228	0.1380536056	0.0000008634	156.2358966950	-2.4337810155
0.2836563061	0.1380536012	0.0000008002	144.8871758732	-2.4343193177
0.2846049894	0.1380535971	0.0000007416	133.5897983721	-2.4348059707
0.2855536727	0.1380535933	0.0000006871	122.3566923260	-2.4352414064
0.2865023560	0.1380535897	0.0000006365	111.2020544658	-2.4356262309
0.2874510393	0.1380535864	0.0000005896	100.1409429754	-2.4359612363
0.2883997226	0.1380535833	0.0000005461	89.1887422019	-2.4362474044
0.2893484059	0.1380535803	0.0000005057	78.3605413071	-2.4364859021
0.2902970892	0.1380535776	0.0000004682	67.6704912025	-2.4366780672
0.2912457725	0.1380535750	0.0000004335	57.1312164413	-2.4368253852
