# time	stress	strain
30.2115384615	0.0632822466	0.0006328225
30.2307692308	0.0717778662	0.0007177787
30.2500000000	0.0802618053	0.0008026181
30.2692307692	0.0887328297	0.0008873283
30.2884615385	0.0971897278	0.0009718973
30.3076923077	0.1056313112	0.0010563131
30.3269230769	0.1140564163	0.0011405642
30.3461538462	0.1224639043	0.0012246390
30.3653846154	0.1308526620	0.0013085266
30.3846153846	0.1392216019	0.0013922160
30.4038461538	0.1475696614	0.0014756966
30.4230769231	0.1558958028	0.0015589580
30.4423076923	0.1641990119	0.0016419901
30.4615384615	0.1724782971	0.0017247830
30.4807692308	0.1807326875	0.0018073269
30.5000000000	0.1889612313	0.0018896123
30.5192307692	0.1971629935	0.0019716299
30.5384615385	0.2053370536	0.0020533705
30.5576923077	0.2134825029	0.0021348250
30.5769230769	0.2215984418	0.0022159844
30.5961538462	0.2296839766	0.0022968398
30.6153846154	0.2377382165	0.0023773822
30.6346153846	0.2457602704	0.0024576027
30.6538461538	0.2537492435	0.0025374924
30.6730769231	0.2617042341	0.0026170423
30.6923076923	0.2696243303	0.0026962433
30.7115384615	0.2775086066	0.0027750861
30.7307692308	0.2853561211	0.0028535612
30.7500000000	0.2931659124	0.0029316591
30.7692307692	0.3009369966	0.0030093700
30.7884615385	0.3086683651	0.0030866837
30.8076923077	0.3163589821	0.0031635898
30.8269230769	0.3240077826	0.0032400778
30.8461538462	0.3316136710	0.0033161367
30.8653846154	0.3391755194	0.0033917552
30.8846153846	0.3466921668	0.0034669217
30.9038461538	0.3541624188	0.0035416242
30.9230769231	0.3615850474	0.0036158505
30.9423076923	0.3689587908	0.0036895879
30.9615384615	0.3762823551	0.0037628236
30.9807692308	0.3835544146	0.0038355441
31.0000000000	0.3907736141	0.0039077361
31.0192307692	0.3979385703	0.0039793857
31.0384615385	0.4050478749	0.0040504787
31.0576923077	0.4121000969	0.0041210010
31.0769230769	0.4190937864	0.0041909379
31.0961538462	0.4260274776	0.0042602748
31.1153846154	0.4328996931	0.0043289969
31.1346153846	0.4397089476	0.0043970895
31.1538461538	0.4464537531	0.0044645375
31.1730769231	0.4531326226	0.0045313262
31.1923076923	0.4597440755	0.0045974408
31.2115384615	0.4662866420	0.0046628664
31.2307692308	0.4727588686	0.0047275887
31.2500000000	0.4791593223	0.0047915932
31.2692307692	0.4854865961	0.0048548660
31.2884615385	0.4917393135	0.0049173931
31.3076923077	0.4979161333	0.0049791613
31.3269230769	0.5040157538	0.0050401575
31.3461538462	0.5100369172	0.0051003692
31.3653846154	0.5159784137	0.0051597841
31.3846153846	0.5218390847	0.0052183908
31.4038461538	0.5276178264	0.0052761783
31.4230769231	0.5333135925	0.0053331359
31.4423076923	0.5389253967	0.0053892540
31.4615384615	0.5444523142	0.0054445231
31.4807692308	0.5498934839	0.0054989348
31.5000000000	0.5552481087	0.0055524811
31.5192307692	0.5605154565	0.0056051546
31.5384615385	0.5656948594	0.0056569486
31.5576923077	0.5707857140	0.0057078571
31.5769230769	0.5757874795	0.0057578748
31.5961538462	0.5806996767	0.0058069968
31.6153846154	0.5855218852	0.0058552189
31.6346153846	0.5902537417	0.0059025374
31.6538461538	0.5948949362	0.0059489494
31.6730769231	0.5994452090	0.0059944521
31.6923076923	0.6039043469	0.0060390435
31.7115384615	0.6082721787	0.0060827218
31.7307692308	0.6125485712	0.0061254857
31.7500000000	0.6167334244	0.0061673342
31.7692307692	0.6208266665	0.0062082667
31.7884615385	0.6248282491	0.0062482825
31.8076923077	0.6287381419	0.0062873814
31.8269230769	0.6325563277	0.0063255633
31.8461538462	0.6362827972	0.0063628280
31.8653846154	0.6399175442	0.0063991754
31.8846153846	0.6434605604	0.0064346056
31.9038461538	0.6469118310	0.0064691183
31.9230769231	0.6502713298	0.0065027133
31.9423076923	0.6535390154	0.0065353902
31.9615384615	0.6567148271	0.0065671483
31.9807692308	0.6597986817	0.0065979868
32.0000000000	0.6627904698	0.0066279047
32.0192307692	0.6656900539	0.0066569005
32.0384615385	0.6684972655	0.0066849727
32.0576923077	0.6712119040	0.0067121190
32.0769230769	0.6738337350	0.0067383373
32.0961538462	0.6763624899	0.0067636249
32.1153846154	0.6787978658	0.0067879787
32.1346153846	0.6811395255	0.0068113953
32.1538461538	0.6833870987	0.0068338710
32.1730769231	0.6855401832	0.0068554018
32.1923076923	0.6875983470	0.0068759835
32.2115384615	0.6895611300	0.0068956113
32.2307692308	0.6914280475	0.0069142805
32.2500000000	0.6931985928	0.0069319859
32.2692307692	0.6948722410	0.0069487224
32.2884615385	0.6964484525	0.0069644845
32.3076923077	0.6979266773	0.0069792668
32.3269230769	0.6993063594	0.0069930636
32.3461538462	0.7005869409	0.0070058694
32.3653846154	0.7017678668	0.0070176787
32.3846153846	0.7028485896	0.0070284859
32.4038461538	0.7038285741	0.0070382857
32.4230769231	0.7047073018	0.0070470730
32.4423076923	0.7054842754	0.0070548428
32.4615384615	0.7061590232	0.0070615902
32.4807692308	0.7067311032	0.0070673110
32.5000000000	0.7072001070	0.0070720011
32.5192307692	0.7075656636	0.0070756566
32.5384615385	0.7078274420	0.0070782744
32.5576923077	0.7079851547	0.0070798515
32.5769230769	0.7080385599	0.0070803856
32.5961538462	0.7079874635	0.0070798746
32.6153846154	0.7078317207	0.0070783172
32.6346153846	0.7075712368	0.0070757124
32.6538461538	0.7072059682	0.0070720597
32.6730769231	0.7067359222	0.0070673592
32.6923076923	0.7061611567	0.0070616116
32.7115384615	0.7054817791	0.0070548178
32.7307692308	0.7046979452	0.0070469795
32.7500000000	0.7038098574	0.0070380986
32.7692307692	0.7028177620	0.0070281776
32.7884615385	0.7017219470	0.0070172195
32.8076923077	0.7005227389	0.0070052274
32.8269230769	0.6992204995	0.0069922050
32.8461538462	0.6978156219	0.0069781562
32.8653846154	0.6963085270	0.0069630853
32.8846153846	0.6946996594	0.0069469966
32.9038461538	0.6929894831	0.0069298948
32.9230769231	0.6911784771	0.0069117848
32.9423076923	0.6892671315	0.0068926713
32.9615384615	0.6872559428	0.0068725594
32.9807692308	0.6851454103	0.0068514541
33.0000000000	0.6829360313	0.0068293603
33.0192307692	0.6806282980	0.0068062830
33.0384615385	0.6782226934	0.0067822269
33.0576923077	0.6757196882	0.0067571969
33.0769230769	0.6731197381	0.0067311974
33.0961538462	0.6704232806	0.0067042328
33.1153846154	0.6676307334	0.0066763073
33.1346153846	0.6647424927	0.0066474249
33.1538461538	0.6617589314	0.0066175893
33.1730769231	0.6586803990	0.0065868040
33.1923076923	0.6555072210	0.0065550722
33.2115384615	0.6522396994	0.0065223970
33.2307692308	0.6488781134	0.0064887811
33.2500000000	0.6454227209	0.0064542272
33.2692307692	0.6418737600	0.0064187376
33.2884615385	0.6382314519	0.0063823145
33.3076923077	0.6344960030	0.0063449600
33.3269230769	0.6306676088	0.0063066761
33.3461538462	0.6267464574	0.0062674646
33.3653846154	0.6227327331	0.0062273273
33.3846153846	0.6186266214	0.0061862662
33.4038461538	0.6144283131	0.0061442831
33.4230769231	0.6101380094	0.0061013801
33.4423076923	0.6057559271	0.0060575593
33.4615384615	0.6012823031	0.0060128230
33.4807692308	0.5967174003	0.0059671740
33.5000000000	0.5920615123	0.0059206151
33.5192307692	0.5873149686	0.0058731497
33.5384615385	0.5824781396	0.0058247814
33.5576923077	0.5775514411	0.0057755144
33.5769230769	0.5725353393	0.0057253534
33.5961538462	0.5674303543	0.0056743035
33.6153846154	0.5622370646	0.0056223706
33.6346153846	0.5569561096	0.0055695611
33.6538461538	0.5515881935	0.0055158819
33.6730769231	0.5461340869	0.0054613409
33.6923076923	0.5405946289	0.0054059463
33.7115384615	0.5349707285	0.0053497073
33.7307692308	0.5292633651	0.0052926337
33.7500000000	0.5234735884	0.0052347359
33.7692307692	0.5176025180	0.0051760252
33.7884615385	0.5116513420	0.0051165134
33.8076923077	0.5056213152	0.0050562132
33.8269230769	0.4995137565	0.0049951376
33.8461538462	0.4933300455	0.0049333005
33.8653846154	0.4870716193	0.0048707162
33.8846153846	0.4807399677	0.0048073997
33.9038461538	0.4743366285	0.0047433663
33.9230769231	0.4678631821	0.0046786318
33.9423076923	0.4613212457	0.0046132125
33.9615384615	0.4547124675	0.0045471247
33.9807692308	0.4480385194	0.0044803852
34.0000000000	0.4413010912	0.0044130109
34.0192307692	0.4345018827	0.0043450188
34.0384615385	0.4276425972	0.0042764260
34.0576923077	0.4207249342	0.0042072493
34.0769230769	0.4137505818	0.0041375058
34.0961538462	0.4067212103	0.0040672121
34.1153846154	0.3996384647	0.0039963846
34.1346153846	0.3925039581	0.0039250396
34.1538461538	0.3853192654	0.0038531927
34.1730769231	0.3780859172	0.0037808592
34.1923076923	0.3708053940	0.0037080539
34.2115384615	0.3634791211	0.0036347912
34.2307692308	0.3561084641	0.0035610846
34.2500000000	0.3486947246	0.0034869472
34.2692307692	0.3412391371	0.0034123914
34.2884615385	0.3337428661	0.0033374287
34.3076923077	0.3262070042	0.0032620700
34.3269230769	0.3186325706	0.0031863257
34.3461538462	0.3110205110	0.0031102051
34.3653846154	0.3033716974	0.0030337170
34.3846153846	0.2956869294	0.0029568693
34.4038461538	0.2879669359	0.0028796694
34.4230769231	0.2802123778	0.0028021238
34.4423076923	0.2724238511	0.0027242385
34.4615384615	0.2646018907	0.0026460189
34.4807692308	0.2567469757	0.0025674698
34.5000000000	0.2488595339	0.0024885953
34.5192307692	0.2409399483	0.0024093995
34.5384615385	0.2329885633	0.0023298856
34.5576923077	0.2250056913	0.0022500569
34.5769230769	0.2169916205	0.0021699162
34.5961538462	0.2089466221	0.0020894662
34.6153846154	0.2008709584	0.0020087096
34.6346153846	0.1927648909	0.0019276489
34.6538461538	0.1846286881	0.0018462869
34.6730769231	0.1764626342	0.0017646263
34.6923076923	0.1682670370	0.0016826704
34.7115384615	0.1600422360	0.0016004224
34.7307692308	0.1517886102	0.0015178861
34.7500000000	0.1435065856	0.0014350659
34.7692307692	0.1351966424	0.0013519664
34.7884615385	0.1268593217	0.0012685932
34.8076923077	0.1184952318	0.0011849523
34.8269230769	0.1101050537	0.0011010505
34.8461538462	0.1016895464	0.0010168955
34.8653846154	0.0932495511	0.0009324955
34.8846153846	0.0847859949	0.0008478599
34.9038461538	0.0762998935	0.0007629989
34.9230769231	0.0677923537	0.0006779235
34.9423076923	0.0592645742	0.0005926457
34.9615384615	0.0507178466	0.0005071785
34.9807692308	0.0421535545	0.0004215355
35.0000000000	0.0335731726	0.0003357317
35.0192307692	0.0249782646	0.0002497826
35.0384615385	0.0163704803	0.0001637048
35.0576923077	0.0077515520	0.0000775155
35.0769230769	-0.0008767097	-0.0000087671
35.0961538462	-0.0095124216	-0.0000951242
35.1153846154	-0.0181536328	-0.0001815363
35.1346153846	-0.0267983318	-0.0002679833
35.1538461538	-0.0354444531	-0.0003544445
35.1730769231	-0.0440898845	-0.0004408988
35.1923076923	-0.0527324753	-0.0005273248
35.2115384615	-0.0613700441	-0.0006137004
35.2307692308	-0.0700003876	-0.0007000039
35.2500000000	-0.0786212890	-0.0007862129
35.2692307692	-0.0872305266	-0.0008723053
35.2884615385	-0.0958258830	-0.0009582588
35.3076923077	-0.1044051534	-0.0010440515
35.3269230769	-0.1129661545	-0.0011296615
35.3461538462	-0.1215067327	-0.0012150673
35.3653846154	-0.1300247720	-0.0013002477
35.3846153846	-0.1385182019	-0.0013851820
35.4038461538	-0.1469850046	-0.0014698500
35.4230769231	-0.1554232219	-0.0015542322
35.4423076923	-0.1638309609	-0.0016383096
35.4615384615	-0.1722064001	-0.0017220640
35.4807692308	-0.1805477939	-0.0018054779
35.5000000000	-0.1888534770	-0.0018885348
