# time	x	y	stress_xx	strain_xx
0.7566042559	0.1377301362	0.0000000000	3205.9194641591	-123.5096043270
0.7636753237	0.1377301362	0.0000000000	3205.9194644464	-124.8420935793
0.7707463915	0.1377301362	0.0000000000	3205.9194645615	-126.1745828317
0.7778174593	0.1377301362	0.0000000000	3205.9194646077	-127.5070720841
0.7848885271	0.1377301362	0.0000000000	3205.9194646262	-128.8395613364
0.7919595949	0.1377301362	0.0000000000	3205.9194646336	-130.1720505888
0.7990306627	0.1377301362	0.0000000000	3205.9194646366	-131.5045398412
0.8061017306	0.1377301362	0.0000000000	3205.9194646378	-132.8370290936
0.8131727984	0.1377301362	0.0000000000	3205.9194646382	-134.1695183460
0.8202438662	0.1377301362	0.0000000000	3205.9194646384	-135.5020075983
0.8273149340	0.1377301362	0.0000000000	3205.9194646385	-136.8344968507
0.8343860018	0.1377301362	0.0000000000	3205.9194646385	-138.1669861031
0.8414570696	0.1377301362	0.0000000000	3205.9194646385	-139.4994753555
0.8485281374	0.1377301362	0.0000000000	3205.9194646385	-140.8319646079
0.8555992052	0.1377301362	0.0000000000	3205.9194646385	-142.1644538603
0.8626702730	0.1377301362	0.0000000000	3205.9194646385	-143.4969431126
0.8697413409	0.1377301362	0.0000000000	3205.9194646385	-144.8294323650
0.8768124087	0.1377301362	0.0000000000	3205.9194646385	-146.1619216174
0.8838834765	0.1377301362	0.0000000000	3205.9194646385	-147.4944108698
0.8909545443	0.1377301362	0.0000000000	3205.9194646385	-148.8269001222
0.8980256121	0.1377301362	0.0000000000	3205.9194646385	-150.1593893745
0.9050966799	0.1377301362	0.0000000000	3205.9194646385	-151.4918786269
0.9121677477	0.1377301362	0.0000000000	3205.9194646385	-152.8243678793
0.9192388155	0.1377301362	0.0000000000	3205.9194646385	-154.1568571317
0.9263098834	0.1377301362	0.0000000000	3205.9194646385	-155.4893463841
0.9333809512	0.1377301362	0.0000000000	3205.9194646385	-156.8218356365
0.9404520190	0.1377301362	0.0000000000	3205.9194646385	-158.1543248888
0.9475230868	0.1377301362	0.0000000000	3205.9194646385	-159.4868141412
0.9545941546	0.1377301362	0.0000000000	3205.9194646385	-160.8193033936
0.9616652224	0.1377301362	0.0000000000	3205.9194646385	-162.1517926460
0.9687362902	0.1377301362	0.0000000000	3205.9194646385	-163.4842818984
0.9758073580	0.1377301362	0.0000000000	3205.9194646385	-164.8167711507
0.9828784258	0.1377301362	0.0000000000	3205.9194646385	-166.1492604031
0.9899494937	0.1377301362	0.0000000000	3205.9194646385	-167.4817496555
0.9970205615	0.1377301362	0.0000000000	3205.9194646385	-168.8142389079
