# time	stress	strain
3.3700000000	0.4478986255	0.0113454047
3.3800000000	0.4194087886	0.0106237487
3.3900000000	0.3892481244	0.0098597702
3.4000000000	0.3575380772	0.0090565453
3.4100000000	0.3244060965	0.0082173024
3.4200000000	0.2899850973	0.0073454083
3.4300000000	0.2544129022	0.0064443541
3.4400000000	0.2178316667	0.0055177406
3.4500000000	0.1803872902	0.0045692634
3.4600000000	0.1422288177	0.0036026980
3.4700000000	0.1035078314	0.0026218840
3.4800000000	0.0643778384	0.0016307097
3.4900000000	0.0249936544	0.0006330967
3.5000000000	-0.0144892123	-0.0003670160
3.5100000000	-0.0539151748	-0.0013656873
3.5200000000	-0.0931291771	-0.0023589896
3.5300000000	-0.1319772965	-0.0033430240
3.5400000000	-0.1703073373	-0.0043139353
3.5500000000	-0.2079694129	-0.0052679268
3.5600000000	-0.2448165150	-0.0062012748
3.5700000000	-0.2807050675	-0.0071103424
3.5800000000	-0.3154954638	-0.0079915935
3.5900000000	-0.3490525857	-0.0088416053
3.6000000000	-0.3812463016	-0.0096570816
3.6100000000	-0.4119519446	-0.0104348647
3.6200000000	-0.4410507663	-0.0111719464
3.6300000000	-0.4684303677	-0.0118654798
3.6400000000	-0.4939851045	-0.0125127889
3.6500000000	-0.5176164669	-0.0131113783
3.6600000000	-0.5392334312	-0.0136589424
3.6700000000	-0.5587527849	-0.0141533734
3.6800000000	-0.5760994223	-0.0145927688
3.6900000000	-0.5912066110	-0.0149754384
3.7000000000	-0.6040162287	-0.0152999098
3.7100000000	-0.6144789690	-0.0155649341
3.7200000000	-0.6225545174	-0.0157694901
3.7300000000	-0.6282116945	-0.0159127881
3.7400000000	-0.6314285688	-0.0159942725
3.7500000000	-0.6321925371	-0.0160136240
3.7600000000	-0.6305003727	-0.0159707610
3.7700000000	-0.6263582410	-0.0158658396
3.7800000000	-0.6197816835	-0.0156992534
3.7900000000	-0.6107955687	-0.0154716325
3.8000000000	-0.5994340103	-0.0151838409
3.8100000000	-0.5857402539	-0.0148369740
3.8200000000	-0.5697665303	-0.0144323548
3.8300000000	-0.5515738780	-0.0139715295
3.8400000000	-0.5312319328	-0.0134562621
3.8500000000	-0.5088186866	-0.0128885279
3.8600000000	-0.4844202155	-0.0122705074
3.8700000000	-0.4581303766	-0.0116045780
3.8800000000	-0.4300504762	-0.0108933058
3.8900000000	-0.4002889076	-0.0101394365
3.9000000000	-0.3689607619	-0.0093458853
3.9100000000	-0.3361874109	-0.0085157266
3.9200000000	-0.3020960640	-0.0076521827
3.9300000000	-0.2668192996	-0.0067586118
3.9400000000	-0.2304945739	-0.0058384958
3.9500000000	-0.1932637062	-0.0048954269
3.9600000000	-0.1552723442	-0.0039330944
3.9700000000	-0.1166694103	-0.0029552707
3.9800000000	-0.0776065306	-0.0019657964
3.9900000000	-0.0382374486	-0.0009685659
4.0000000000	0.0012825741	0.0000324880
4.0100000000	0.0407973674	0.0010334094
4.0200000000	0.0801504720	0.0020302352
