# step	 time	 x_p_n	 v_p_n	 N0	 N1	 mass_n0	 mass_n1	 mv_n0	 mv_n1	 f_total0	 f_total1	 mv_n0_after	 mv_n1_after	 a_grid	 v_pic	 x_p_np1	 v_p_np1
71	0.7100000000	0.4933093898	-0.0267569456	0.5066906102	0.4933093898	0.5066906102	0.4933093898	0.0000000000	-0.0131994525	-0.5311949695	0.5311949695	0.0000000000	-0.0078875028	0.0000000000	-0.0078875028	0.4932305147	-0.0214449959
72	0.7200000000	0.4932305147	-0.0214449959	0.5067694853	0.4932305147	0.5067694853	0.4932305147	0.0000000000	-0.0105773264	-0.5375071568	0.5375071568	0.0000000000	-0.0052022548	0.0000000000	-0.0052022548	0.4931784922	-0.0160699244
73	0.7300000000	0.4931784922	-0.0160699244	0.5068215078	0.4931784922	0.5068215078	0.4931784922	0.0000000000	-0.0079253411	-0.5416710677	0.5416710677	0.0000000000	-0.0025086304	0.0000000000	-0.0025086304	0.4931534059	-0.0106532137
74	0.7400000000	0.4931534059	-0.0106532137	0.5068465941	0.4931534059	0.5068465941	0.4931534059	0.0000000000	-0.0052536686	-0.5436791998	0.5436791998	0.0000000000	0.0001831234	0.0000000000	0.0001831234	0.4931552371	-0.0052164217
75	0.7500000000	0.4931552371	-0.0052164217	0.5068447629	0.4931552371	0.5068447629	0.4931552371	0.0000000000	-0.0025725057	-0.5435326040	0.5435326040	0.0000000000	0.0028628204	0.0000000000	0.0028628204	0.4931838653	0.0002189043
76	0.7600000000	0.4931838653	0.0002189043	0.5068161347	0.4931838653	0.5068161347	0.4931838653	0.0000000000	0.0001079601	-0.5412408385	0.5412408385	0.0000000000	0.0055203685	-0.0000000000	0.0055203685	0.4932390690	0.0056313127
77	0.7700000000	0.4932390690	0.0056313127	0.5067609310	0.4932390690	0.5067609310	0.4932390690	0.0000000000	0.0027775834	-0.5368218899	0.5368218899	0.0000000000	0.0081458023	0.0000000000	0.0081458023	0.4933205270	0.0109995316
78	0.7800000000	0.4933205270	0.0109995316	0.5066794730	0.4933205270	0.5066794730	0.4933205270	0.0000000000	0.0054262947	-0.5303020620	0.5303020620	0.0000000000	0.0107293154	0.0000000000	0.0107293154	0.4934278202	0.0163025523
79	0.7900000000	0.4934278202	0.0163025523	0.5065721798	0.4934278202	0.5065721798	0.4934278202	0.0000000000	0.0080441328	-0.5217158311	0.5217158311	0.0000000000	0.0132612911	0.0000000000	0.0132612911	0.4935604331	0.0215197106
80	0.8000000000	0.4935604331	0.0215197106	0.5064395669	0.4935604331	0.5064395669	0.4935604331	0.0000000000	0.0106212777	-0.5111056716	0.5111056716	0.0000000000	0.0157323344	0.0000000000	0.0157323344	0.4937177564	0.0266307673
81	0.8100000000	0.4937177564	0.0266307673	0.5062822436	0.4937177564	0.5062822436	0.4937177564	0.0000000000	0.0131480827	-0.4985218495	0.4985218495	0.0000000000	0.0181333012	0.0000000000	0.0181333012	0.4938990894	0.0316159858
82	0.8200000000	0.4938990894	0.0316159858	0.5061009106	0.4938990894	0.5061009106	0.4938990894	0.0000000000	0.0156151066	-0.4840221880	0.4840221880	0.0000000000	0.0204553285	0.0000000000	0.0204553285	0.4941036427	0.0364562077
83	0.8300000000	0.4941036427	0.0364562077	0.5058963573	0.4941036427	0.5058963573	0.4941036427	0.0000000000	0.0180131450	-0.4676718035	0.4676718035	0.0000000000	0.0226898630	-0.0000000000	0.0226898630	0.4943305414	0.0411329257
84	0.8400000000	0.4943305414	0.0411329257	0.5056694586	0.4943305414	0.5056694586	0.4943305414	0.0000000000	0.0203332614	-0.4495428158	0.4495428158	0.0000000000	0.0248286896	0.0000000000	0.0248286896	0.4945788283	0.0456283538
85	0.8500000000	0.4945788283	0.0456283538	0.5054211717	0.4945788283	0.5054211717	0.4945788283	0.0000000000	0.0225668178	-0.4297140313	0.4297140313	0.0000000000	0.0268639581	0.0000000000	0.0268639581	0.4948474678	0.0499254942
86	0.8600000000	0.4948474678	0.0499254942	0.5051525322	0.4948474678	0.5051525322	0.4948474678	0.0000000000	0.0247055044	-0.4082706032	0.4082706032	0.0000000000	0.0287882104	0.0000000000	0.0287882104	0.4951353499	0.0540082002
87	0.8700000000	0.4951353499	0.0540082002	0.5048646501	0.4951353499	0.5048646501	0.4951353499	0.0000000000	0.0267413691	-0.3853036676	0.3853036676	0.0000000000	0.0305944058	0.0000000000	0.0305944058	0.4954412940	0.0578612369
