# time	stress	strain
85.4807692308	-0.1227842114	-0.0012278421
85.5000000000	-0.1312476907	-0.0013124769
85.5192307692	-0.1396791939	-0.0013967919
85.5384615385	-0.1480771732	-0.0014807717
85.5576923077	-0.1564401286	-0.0015644013
85.5769230769	-0.1647666111	-0.0016476661
85.5961538462	-0.1730552247	-0.0017305522
85.6153846154	-0.1813046285	-0.0018130463
85.6346153846	-0.1895135387	-0.0018951354
85.6538461538	-0.1976807294	-0.0019768073
85.6730769231	-0.2058050339	-0.0020580503
85.6923076923	-0.2138853456	-0.0021388535
85.7115384615	-0.2219206175	-0.0022192062
85.7307692308	-0.2299098629	-0.0022990986
85.7500000000	-0.2378521545	-0.0023785215
85.7692307692	-0.2457466237	-0.0024574662
85.7884615385	-0.2535924593	-0.0025359246
85.8076923077	-0.2613889064	-0.0026138891
85.8269230769	-0.2691352640	-0.0026913526
85.8461538462	-0.2768308834	-0.0027683088
85.8653846154	-0.2844751654	-0.0028447517
85.8846153846	-0.2920675582	-0.0029206756
85.9038461538	-0.2996075539	-0.0029960755
85.9230769231	-0.3070946857	-0.0030709469
85.9423076923	-0.3145285245	-0.0031452852
85.9615384615	-0.3219086758	-0.0032190868
85.9807692308	-0.3292347756	-0.0032923478
86.0000000000	-0.3365064871	-0.0033650649
86.0192307692	-0.3437234969	-0.0034372350
86.0384615385	-0.3508855112	-0.0035088551
86.0576923077	-0.3579922519	-0.0035799225
86.0769230769	-0.3650434532	-0.0036504345
86.0961538462	-0.3720388575	-0.0037203886
86.1153846154	-0.3789782119	-0.0037897821
86.1346153846	-0.3858612650	-0.0038586126
86.1538461538	-0.3926877631	-0.0039268776
86.1730769231	-0.3994574472	-0.0039945745
86.1923076923	-0.4061700501	-0.0040617005
86.2115384615	-0.4128252932	-0.0041282529
86.2307692308	-0.4194228844	-0.0041942288
86.2500000000	-0.4259625152	-0.0042596252
86.2692307692	-0.4324438593	-0.0043244386
86.2884615385	-0.4388665699	-0.0043886657
86.3076923077	-0.4452302789	-0.0044523028
86.3269230769	-0.4515345952	-0.0045153460
86.3461538462	-0.4577791041	-0.0045777910
86.3653846154	-0.4639633659	-0.0046396337
86.3846153846	-0.4700869164	-0.0047008692
86.4038461538	-0.4761492659	-0.0047614927
86.4230769231	-0.4821499001	-0.0048214990
86.4423076923	-0.4880882799	-0.0048808828
86.4615384615	-0.4939638424	-0.0049396384
86.4807692308	-0.4997760017	-0.0049977600
86.5000000000	-0.5055241502	-0.0050552415
86.5192307692	-0.5112076595	-0.0051120766
86.5384615385	-0.5168258824	-0.0051682588
86.5576923077	-0.5223781544	-0.0052237815
86.5769230769	-0.5278637953	-0.0052786380
86.5961538462	-0.5332821117	-0.0053328211
86.6153846154	-0.5386323983	-0.0053863240
86.6346153846	-0.5439139407	-0.0054391394
86.6538461538	-0.5491260172	-0.0054912602
86.6730769231	-0.5542679008	-0.0055426790
86.6923076923	-0.5593388620	-0.0055933886
86.7115384615	-0.5643381703	-0.0056433817
86.7307692308	-0.5692650964	-0.0056926510
86.7500000000	-0.5741189146	-0.0057411891
86.7692307692	-0.5788989041	-0.0057889890
86.7884615385	-0.5836043515	-0.0058360435
86.8076923077	-0.5882345515	-0.0058823455
86.8269230769	-0.5927888093	-0.0059278881
86.8461538462	-0.5972664415	-0.0059726644
86.8653846154	-0.6016667771	-0.0060166678
86.8846153846	-0.6059891585	-0.0060598916
86.9038461538	-0.6102329423	-0.0061023294
86.9230769231	-0.6143975001	-0.0061439750
86.9423076923	-0.6184822178	-0.0061848222
86.9615384615	-0.6224864970	-0.0062248650
86.9807692308	-0.6264097536	-0.0062640975
87.0000000000	-0.6302514183	-0.0063025142
87.0192307692	-0.6340109356	-0.0063401094
87.0384615385	-0.6376877631	-0.0063768776
87.0576923077	-0.6412813706	-0.0064128137
87.0769230769	-0.6447912389	-0.0064479124
87.0961538462	-0.6482168584	-0.0064821686
87.1153846154	-0.6515577278	-0.0065155773
87.1346153846	-0.6548133526	-0.0065481335
87.1538461538	-0.6579832429	-0.0065798324
87.1730769231	-0.6610669124	-0.0066106691
87.1923076923	-0.6640638758	-0.0066406388
87.2115384615	-0.6669736474	-0.0066697365
87.2307692308	-0.6697957390	-0.0066979574
87.2500000000	-0.6725296582	-0.0067252966
87.2692307692	-0.6751749062	-0.0067517491
87.2884615385	-0.6777309764	-0.0067773098
87.3076923077	-0.6801973524	-0.0068019735
87.3269230769	-0.6825735065	-0.0068257351
87.3461538462	-0.6848588981	-0.0068485890
87.3653846154	-0.6870529726	-0.0068705297
87.3846153846	-0.6891551599	-0.0068915516
87.4038461538	-0.6911648736	-0.0069116487
87.4230769231	-0.6930815105	-0.0069308151
87.4423076923	-0.6949044493	-0.0069490445
87.4615384615	-0.6966330511	-0.0069663305
87.4807692308	-0.6982666587	-0.0069826666
87.5000000000	-0.6998045973	-0.0069980460
87.5192307692	-0.7012461744	-0.0070124617
87.5384615385	-0.7025906809	-0.0070259068
87.5576923077	-0.7038373919	-0.0070383739
87.5769230769	-0.7049855679	-0.0070498557
87.5961538462	-0.7060344562	-0.0070603446
87.6153846154	-0.7069832932	-0.0070698329
87.6346153846	-0.7078313055	-0.0070783131
87.6538461538	-0.7085777128	-0.0070857771
87.6730769231	-0.7092217301	-0.0070922173
87.6923076923	-0.7097625704	-0.0070976257
87.7115384615	-0.7101994474	-0.0071019945
87.7307692308	-0.7105315787	-0.0071053158
87.7500000000	-0.7107581888	-0.0071075819
87.7692307692	-0.7108785124	-0.0071087851
87.7884615385	-0.7108917981	-0.0071089180
87.8076923077	-0.7107973113	-0.0071079731
87.8269230769	-0.7105943381	-0.0071059434
87.8461538462	-0.7102821887	-0.0071028219
87.8653846154	-0.7098602010	-0.0070986020
87.8846153846	-0.7093277442	-0.0070932774
87.9038461538	-0.7086842219	-0.0070868422
87.9230769231	-0.7079290759	-0.0070792908
